,dataItemType,id,modelId,name,source,unitId,description
0,a,25695,690,gc_cyl5_he_prs_deg311,axeda,684.0,
1,a,23162,690,gc_cyl1_ce_prs_deg298,axeda,684.0,
2,a,10009981,590,Para_ModulControler_Ctr16_Tn_manualAdjust,seshat,,
3,a,28337,570,sp_fnl_disc_prs_PID_min,axeda,72.0,
4,s,19887,21,time_sync,axeda,,
5,a,18180,23,Para_Island_Limit_LSdSpeedLimit,axeda,,
6,a,10008855,23,Para_ModulControler_Ctr30_t_period_up,seshat,,
7,a,69,23,Hyd_PressCoolWat,axeda,70.0,
8,a,10049068,990,meas_gasflow,seshat,764.0,
9,a,10051528,1371,generator_voltage_l2-l3,seshat,23.0,
10,a,10000302,23,Para_Gas_Pr_GasPrAbsActive,seshat,,
11,a,1019355,23,RMD_BlowByFilterOPHEventLast,analytics,,
12,a,26129,690,gc_cyl6_he_prs_deg25,axeda,684.0,
13,a,23563,690,gc_cyl2_he_prs_deg339,axeda,684.0,
14,a,10001382,23,Para_Hydraulic_Oil_GenOilSkid_Flow_OilSkid_DE_Hi,seshat,,
15,a,25953,690,gc_cyl5_ce_prs_deg209,axeda,684.0,
16,a,23764,690,gc_cyl2_ce_prs_deg180,axeda,684.0,
17,a,10048177,1015,separator_1_sludge_pump_running,seshat,,
18,a,10010196,590,Para_Exhaust_TempBoilInputMin,seshat,,
19,a,10009070,23,SlowDownTime09,seshat,,
20,a,10048446,1030,vsd1_fault_code_bit_6,seshat,,
21,a,19204,23,PBC_HeatCharVar_Cyl11,axeda,464.0,
22,a,20194,23,Ignition_SAFI_SW_Vers6,axeda,775.0,
23,a,24939,690,gc_cyl4_he_prs_deg275,axeda,684.0,
24,a,1019877,23,PMax_Spread,analytics,70.0,
25,a,21605,570,eng_rb_cyl_5_knockratio,axeda,,
26,a,10000549,23,Para_Cylinder_Ignition_MORIS_SparkChar4_Current,seshat,,
27,a,17671,23,Para_Hyd_CoolWat_Press_Limit1,axeda,70.0,
28,a,1040216,23,spark_plug_rul_at_maintenance_11,analytics,710.0,
29,a,1040185,23,spark_plug_maintenance_IV04,analytics,74.0,
30,a,10014876,590,Para_Engine_Leanox_LambdaFeedFwdCtr_Gas1_Lam_Start_Offs1,seshat,,
31,a,1040074,23,valverecession_cyl17_deltaOphSinceInit,analytics,710.0,
32,a,10050949,23,CtrModule_Ctr22_W,seshat,10002.0,
33,a,25109,690,gc_cyl4_ce_prs_deg85,axeda,684.0,
34,a,10011631,590,Para_Power_RedPreChambGasTrain_Rate,seshat,,
35,a,10048463,1030,vsd2_output_motor_frequency,seshat,181.0,
36,a,20200,23,Ignition_SAFI_OpHours6,axeda,,
37,a,10012049,590,Ignition_SAFI_TeethError4,seshat,,
38,a,25521,690,gc_cyl5_he_prs_deg137,axeda,684.0,
39,a,1040039,23,valverecession_riv_cyl06_deltaVRSinceInit,analytics,64.0,
40,a,24338,690,gc_cyl3_ce_prs_deg34,axeda,684.0,
41,a,1039896,23,valverecession_liv_cyl07_init,analytics,64.0,
42,a,10045523,23,out_ha_rf_mmd_synch2_1,seshat,,
43,a,10015167,590,Para_Custom_AnalogIn_57_LimitLoLo,seshat,,
44,a,10009329,590,Knock_PBC_PMax_Cyl17,seshat,,
45,a,10012795,590,Para_Grid_GridCodeStatic_030_PowerLimit_Step5,seshat,,
46,a,10008506,23,Para_Engine_Power_FastStart_LowTransNOx_Ena,seshat,,
47,a,10009161,590,Hyd_OilCount_Trend_ActiveEnergy,seshat,,
48,a,21624,570,eng_cyl_8_timing,axeda,507.0,
49,a,10000815,23,Para_ModulControler_Ctr8_Kp_manualAdjust,seshat,,
50,a,10010359,590,Para_GeneratCtr_ChoiceSet_ExtSetPF1,seshat,,
51,a,26820,690,gc_cyl6_ce_prs_deg356,axeda,684.0,
52,a,10012185,590,Ignition_SAFI_ProdDate11,seshat,,
53,a,10049635,871,CHP_J420_NOx_AfterEngineMassflow_gph,seshat,769.0,
54,s,16794,23,Para_CtrModule_Ctr2_NameF,axeda,,
55,a,24213,690,gc_cyl3_he_prs_deg269,axeda,684.0,
56,a,10000946,23,Para_Custom_AnalogIn_30_ScaleMin,seshat,,
57,a,21729,570,para_esm2_lubeposttime,axeda,347.0,
58,a,13052,23,Power_Electrical,axeda,2.0,
59,a,10049001,23,enginecontroller_rpr_lx2_bpoc_09,seshat,62.0,
60,a,23855,690,gc_cyl2_ce_prs_deg271,axeda,684.0,
61,a,24878,690,gc_cyl4_he_prs_deg214,axeda,684.0,
62,a,10008415,23,Para_ModulControler_Ctr27_deadband,seshat,,
63,a,1040317,570,gc_cyl_3_disch_theo_tmp,analytics,344.0,
64,a,1020040,570,102_HEClosingAngle,analytics,,
65,a,26329,690,gc_cyl6_he_prs_deg225,axeda,684.0,
66,a,1039869,23,valverecession_lev_cyl04_init,analytics,64.0,
67,a,10009014,23,rTi_Start_0,seshat,,
68,a,1039907,23,valverecession_liv_cyl18_init,analytics,64.0,
69,a,10051462,1371,sound_misfire_rate_cylinder_b3,seshat,10002.0,
70,a,10049011,23,valverecession_cyl09_new_cyl_head,seshat,,
71,a,10051443,1371,l2_real_power,seshat,2.0,
72,a,10000203,23,Para_Electrical_Grid_Synchronization_C_CB_Enable,seshat,,
73,a,10010517,590,Para_Grid_GridCode_VoltageLimit,seshat,,
74,a,20256,23,Ignition_SAFI_SerialNr9,axeda,,
75,a,25724,690,gc_cyl5_he_prs_deg340,axeda,684.0,
76,a,26413,690,gc_cyl6_he_prs_deg309,axeda,684.0,
77,a,23882,690,gc_cyl2_ce_prs_deg298,axeda,684.0,
78,a,10002562,23,Para_Electrical_Generator_F_GenBear_ScalMax,seshat,,
79,a,26250,690,gc_cyl6_he_prs_deg146,axeda,684.0,
80,a,18768,23,Para_Reserve_Analog_ScaleEnd10,axeda,,
81,a,10008695,23,Para_Cylinder_PI_SA_CyclPIOnDuringMisf,seshat,,
82,a,10002913,23,Para_Custom_AnalogIn_34_LimitHiHi,seshat,,
83,a,21321,570,ins_filtered_flt_status_49,axeda,,
84,a,10047953,871,CHP_Production_ZP9_ReactiveEnergyImportTotal,seshat,647.0,
85,a,10050068,1230,Out_ElectricalEnergy,seshat,584.0,
86,a,10013215,590,Para_Custom_AnalogIn_53_CustAnaIn_MinMaxActive53,seshat,,
87,a,25680,690,gc_cyl5_he_prs_deg296,axeda,684.0,
88,a,23428,690,gc_cyl2_he_prs_deg204,axeda,684.0,
89,a,16261,387,MTTRQuarter,axeda,241.0,
90,a,18279,23,Para_Leanox_Comp_ITPDeltaPress2,axeda,363.0,
91,a,24146,690,gc_cyl3_he_prs_deg202,axeda,684.0,
92,a,28292,570,sp_thr_stage_assign_4,axeda,,
93,a,24791,690,gc_cyl4_he_prs_deg127,axeda,684.0,
94,a,17959,23,Para_Tecjet_Gas2_TecJetPoint2,axeda,,
95,a,10045074,23,cbm_icnt_knock_lim_13,seshat,,
96,a,10013043,590,Para_Custom_AnalogIn_53_ScaleMax,seshat,,
97,a,10013162,590,Para_Custom_AnalogIn_35_CustAnaIn_Active35,seshat,,
98,a,10009761,590,Para_Aux_DumpRad_EC_St1onlyP,seshat,,
99,a,10014731,590,Para_Exhaust_SCR_P_LoadEngine_Dosing,seshat,,
100,a,17507,23,Para_GeneratCtr_TimeTable_TimePoint2h,axeda,67.0,
101,a,10047632,950,Emeter1.F01Bill.f,seshat,181.0,
102,a,17759,23,Para_Hyd_Oil_Temp_LoadEnabHys,axeda,544.0,
103,a,24914,690,gc_cyl4_he_prs_deg250,axeda,684.0,
104,a,28419,570,eng_cyl_3_detonation_lvl,axeda,,
105,a,1019753,23,SPRUL_FinalVoltage07,analytics,74.0,
106,a,1000082,23,BBFRULDIF_RUL,analytics,710.0,
107,a,1039879,23,valverecession_lev_cyl14_init,analytics,64.0,
108,a,25199,690,gc_cyl4_ce_prs_deg175,axeda,684.0,
109,a,10048042,871,CHP_Production_EP20_Auxiliaries_ActiveEnergyExportTotal,seshat,584.0,
110,a,10001077,23,Para_Custom_AnalogIn_48_Hystereses,seshat,,
111,a,10051630,1371,flex_analog_input_02,seshat,72.0,
112,a,10046327,23,Para_Custom_AnalogOut_AO031_ScaleMin,seshat,,
113,a,26920,631,gc_cyl_2_discharge_p,axeda,684.0,
114,a,25985,690,gc_cyl5_ce_prs_deg241,axeda,684.0,
115,a,10000450,23,Para_ModulControler_Ctr15_WMin,seshat,,
116,a,10009655,590,Para_Custom_AnalogIn_31_LimitHi,seshat,,
117,a,10002705,23,Para_Exhaust_SCR_Pr_SCR_Hi,seshat,,
118,a,17505,23,Para_GeneratCtr_TimeTable_TimePoint1h,axeda,67.0,
119,a,10013404,590,Para_Gas_SpecGas_GlowIgn_SafetyCutOut_ti_SG_SCO_Max,seshat,,
120,a,10009428,590,rTi_Start_0,seshat,,
121,a,26098,690,gc_cyl5_ce_prs_deg354,axeda,684.0,
122,a,10048283,1017,cau_process_air_compressor_controls_c3_process_air_compressor_start,seshat,,
123,a,10000379,23,Para_ModulControler_Ctr16_Tn_manualAdjust,seshat,,
124,a,10009347,590,PBC_PressMean_Cyl08,seshat,,
125,a,10000914,23,Para_Custom_AnalogIn_4_LimitLo,seshat,,
126,a,10013124,590,Para_Custom_AnalogIn_57_CustAnaIn_Set4mA57,seshat,,
127,a,26498,690,gc_cyl6_ce_prs_deg34,axeda,684.0,
128,a,17639,23,Para_Grid_GridCodeStatic_070_VoltageSet_SetPointExtCurr2,axeda,72.0,
129,a,10048004,871,CHP_Technology_EP4_5_ReactivePowerTotal,seshat,705.0,
130,a,23272,690,gc_cyl2_he_prs_deg48,axeda,684.0,
131,a,24747,690,gc_cyl4_he_prs_deg83,axeda,684.0,
132,a,10011339,590,Para_Electrical_MMD_MMD1_U_RangeSync21,seshat,,
133,a,16662,23,Para_Aux_GasTrain1_LimitMax2,axeda,70.0,
134,a,10000083,23,Para_Engine_Leanox_Gasmixer_Gas3_P,seshat,,
135,a,10012103,590,Ignition_SAFI_SW_Vers1,seshat,,
136,a,23969,690,gc_cyl3_he_prs_deg25,axeda,684.0,
137,a,19254,23,TecJet_ValvePos4,axeda,61.0,
138,a,23872,690,gc_cyl2_ce_prs_deg288,axeda,684.0,
139,a,10048986,1019,meter2_power_factor_total,seshat,,
140,a,10048304,1017,wtu_distribution_system_current_time_of_current_step,seshat,221.0,
141,a,24963,690,gc_cyl4_he_prs_deg299,axeda,684.0,
142,a,10015566,590,Para_Custom_AnalogIn_58_CustAnaIn_Typ58,seshat,,
143,a,25928,690,gc_cyl5_ce_prs_deg184,axeda,684.0,
144,a,10008997,23,CylState_19,seshat,,
145,a,10045446,23,cbm_icnt_limphome_01,seshat,,
146,a,21331,570,eng_cyl_3_timing,axeda,507.0,
147,a,10049079,990,meas_kncnta7,seshat,,
148,a,26120,690,gc_cyl6_he_prs_deg16,axeda,684.0,
149,a,10045657,23,Para_Custom_AnalogIn_071_LimitHiHi,seshat,,
150,a,24730,690,gc_cyl4_he_prs_deg66,axeda,684.0,
151,a,10008938,23,Para_Electrical_Grid_GridCodeStatic_DEIE_Active,seshat,,
152,a,26279,690,gc_cyl6_he_prs_deg175,axeda,684.0,
153,a,10014935,590,Para_Exhaust_SCR_T_SCR_In_ScalMin,seshat,,
154,a,25098,690,gc_cyl4_ce_prs_deg74,axeda,684.0,
155,a,24195,690,gc_cyl3_he_prs_deg251,axeda,684.0,
156,a,18874,23,Para_Reserve_Para2_ParaUnit032,axeda,,
157,a,25887,690,gc_cyl5_ce_prs_deg143,axeda,684.0,
158,a,10047791,1011,meas_coolantlevelvolts,seshat,23.0,
159,a,17803,23,Para_Power_ExtRed_Point1,axeda,2.0,
160,a,18575,23,Para_MMD_MMD2_PowerReactMinDelay,axeda,347.0,
161,a,25705,690,gc_cyl5_he_prs_deg321,axeda,684.0,
162,a,10008538,23,Para_Engine_Power_FastStart_P_Ramp_Norm2,seshat,,
163,a,10044365,23,manualdata_logbook_start_counter,seshat,606.0,
164,a,16137,387,calc_para_Tau_b1w,axeda,,
165,a,18360,23,Para_Leanox_Gas3_Para_DPIslandAdap,axeda,,
166,a,10051303,1371,actual_load_signal,seshat,61.0,
167,a,22966,690,gc_cyl1_ce_prs_deg102,axeda,684.0,
168,a,24265,690,gc_cyl3_he_prs_deg321,axeda,684.0,
169,a,16598,23,Ignition_ITPCyl08,axeda,359.0,
170,a,10044478,23,manualdata_valverecession_liv_cyl10,seshat,64.0,
171,a,1040157,23,OpH_Jumps,analytics,606.0,
172,d,18008,23,Para_Visu_Aux_ActCoolRadStage2,axeda,,
173,a,17043,23,Para_CtrModule_Ctr8_YHl,axeda,61.0,
174,a,26016,690,gc_cyl5_ce_prs_deg272,axeda,684.0,
175,a,10046467,23,Para_Reserve_Para6_Par159,seshat,,
176,a,10001472,23,Para_Exhaust_Pr_EGaHPTC_A_Active,seshat,,
177,a,10008406,23,Para_Engine_Power_Limit_P_GhStep_Lim_Norm1,seshat,,
178,a,10008633,23,Para_Custom_AnalogIn_50_CustAnaIn_Typ50,seshat,,
179,a,10011199,590,Para_Engine_ChargeTempCtr_PComp,seshat,,
180,a,10051330,1371,ai_ht_cw_temperature_jacket_inlet,seshat,344.0,
181,a,27796,570,para_esm2_stepper_manual_pos,axeda,,
182,a,10011801,590,Para_SpecGas_SucPress_EndPRed,seshat,,
183,a,23519,690,gc_cyl2_he_prs_deg295,axeda,684.0,
184,a,10010641,590,Para_Hyd_Oil_Press_TCFiltPressOutletMin2,seshat,,
185,a,25420,690,gc_cyl5_he_prs_deg36,axeda,684.0,
186,a,17537,23,Para_GeneratCtr_WindTempDep_TempPowRed,axeda,,
187,a,10000418,23,Para_ModulControler_Ctr13_WMin,seshat,,
188,a,24978,690,gc_cyl4_he_prs_deg314,axeda,684.0,
189,a,10045750,23,Para_Custom_AnalogIn_104_LimitLo,seshat,,
190,a,21040,570,eng_hr_alm_1_mult,axeda,565.0,
191,a,138,23,Knock_KLS98_IntKnock_Cyl07,axeda,61.0,
192,a,10011979,590,Para_Reserve_Analog_Active4,seshat,,
193,a,10044410,23,manualdata_valvelash_cyl14,seshat,64.0,
194,a,25071,690,gc_cyl4_ce_prs_deg47,axeda,684.0,
195,a,10045547,23,Para_Custom_AnalogIn_081_Hystereses,seshat,,
196,a,10015287,590,Para_Custom_AnalogOut_AO13_HardwareScaleMin,seshat,,
197,a,10012467,590,Para_Reserve_Para_Par026,seshat,,
198,d,17539,23,Para_Generator_ActBear1,axeda,,
199,a,23996,690,gc_cyl3_he_prs_deg52,axeda,684.0,
200,a,10000260,23,Para_ModulControler_Ctr4_WStart,seshat,,
201,a,10013340,590,Para_Leanox_Gas3_CtrTecjet_DeadBand,seshat,,
202,a,10010269,590,Para_Gasmixer_Gas1_TempOilPoint2,seshat,,
203,a,10000699,23,Para_Gas_GasPropValve_Gas3_Lam_TJ_Power_Offs3,seshat,,
204,a,10001272,23,Para_Custom_AnalogIn_56_CustAnaIn_MinMaxActive56,seshat,,
205,a,10048587,1030,lube_oil_pressure_filter_inlet1,seshat,70.0,
206,a,27387,894,sg_high_t_loop_return,axeda,344.0,
207,a,10009778,590,Para_ModulControler_Ctr1_WRampNeg,seshat,,
208,a,10010762,590,Para_Cylinder_Ignition_CA_RetTimeLim,seshat,,
209,a,10013001,590,Para_Custom_AnalogIn_47_Hystereses,seshat,,
210,a,10046786,930,Gen.STAT.ReadySync,seshat,,
211,a,10001440,23,Para_ModulControler_Ctr21_WStart,seshat,,
212,a,16928,23,Para_CtrModule_Ctr5_YBlock,axeda,,
213,a,17358,23,Para_Exhaust_TempExhMaxPnSm40,axeda,344.0,
214,a,26002,690,gc_cyl5_ce_prs_deg258,axeda,684.0,
