n;Validation Engine;serialNumber;val start;oph@start;starts@start;Asset ID;Old PU first replaced OPH;Old PUs replaced before upgrade
0;POLYNT - 2 (1145166-T241) --> Sept;1145166;12.10.2020;31291;378;103791;;
1;REGENSBURG;1175579;14.09.2020;30402;1351;106622;;
2;ROCHE PENZBERG KWKK;1184199;27.04.2020;25208;749;108532;;
3;ECOGEN ENERGY SYSTEMS BVBA;1198719;15.10.2020;28583;711;110311;10923;5
4;BMW REGENSBURG M3;1243360;17.08.2020;63893;2016;157181;17664;2
5;REGENSBURG;1243362;07.09.2020;62765;;157701;4913;1
6;ABINSK;1250575;15.06.2020;758;;156120;995;5
7;PROSPERITY WEAVING MILLS LTD - 1 (1351388-X243);1250578;12.10.2020;0;352;158705;;
8;SOTERNIX RENOVE;1310773;25.09.2020;18439;1218;109063;;
9;BMW MÜNCHEN;1319133;31.08.2020;4532;581;126399;;
10;BMW MÜNCHEN;1319138;20.07.2020;4292;557;126449;775;4
11;BMW MÜNCHEN;1319151;06.07.2020;4108;726;126448;2338;6
12;BMW MÜNCHEN;1319157;17.08.2020;4416;579;126402;1636;4
13;BMW MÜNCHEN;1319997;24.08.2020;4992;1379;117598;927;2
14;BMW MÜNCHEN;1320022;08.06.2020;3985;864;117551;;
15;BMW MÜNCHEN;1320030;03.08.2020;5478;1042;117550;3115;2
16;BMW LANDSHUT 4.10;1320072;07.02.2020;6316;768;117617;1742;4
17;BMW LANDSHUT M1;1320090;12.10.2020;8076;1224;117510;;
18;BMW LANDSHUT 4.10;1320114;24.02.2020;6494;602;117547;3168;2
19;LES COURONNERIES;1325927;09.09.2020;9804;255;113808;;
20;DALOMA;1339812;02.11.2020;5248;111;116255;;
21;GAZ DE LACQ;1345851;22.10.2020;7252;119;117227;;
22;BMW DINGOLFING 2.4;1352268;04.05.2020;5756;444;118223;3216;2
23;BMW DINGOLFING 2.4;1352323;22.06.2020;6262;534;126032;3029;2
24;FRONERI - FERENTINO;1361965;18.11.2020;7229;305;126008;;
25;TOM VILLE;1364066;25.09.2020;0;14;123220;;
26;ABINSK;1386147;11.12.2020;8920;145;123269;;
27;ABINSK;1386177;02.03.2020;1845;55;130891;1700;6
28;ABINSK;1386260;13.07.2020;6240;192;130893;1015;6
29;BLESSED TEXTILE;1393153;23.03.2020;7315;243;129039;1862;3
30;Salmmeir 1;1415409;21.10.2020;6871;1011;133716;795;4
31;Salmmeir 2;1415410;02.10.2020;6580;674;133858;729;8
32;Tomaver;1323894;08.12.2020;17880;2260;115624;;
33;KAMAL LIMITED;1393378;19.09.2020;11423;269;129046;5248;1
34;EC Mielec;1225799;25.02.2021;65756;2025;;

